Time,Order ID,Order Status,Last Name,First Name,Birthday,E-Mail,Delivery Adress,Invoice Adress,Payment Method,Product ID,Product Name,Brand,Product Category,sell price,buy price,quantity,line item price,margin
2021-10-21 21:35:39,ID873957571052061,delivered,Sigrist,Tseyang,1954-09-24,Tseyang.Sigrist@gmail.ch,"Girhaldenweg 90, 6537 Grono, Schweiz","Girhaldenweg 90, 6537 Grono, Schweiz",invoice,P110032,,Diesel,Jackets,199,180,6,1194,9.55%
2021-10-21 16:06:12,ID242958231580033,delivered,Zingg,Varduhi,1960-01-03,Varduhi.Zingg@gmail.ch,"CAMPUS 60, 11694 Rockaway Park, USA","CAMPUS 60, 11694 Rockaway Park, USA",invoice,P110022,,Pepe Jeans,Shirts,49,45,9,441,8.16%
2021-10-21 14:24:11,ID485122015490659,delivered,Ulrich,Aljajdin,1982-04-18,Aljajdin.Ulrich@gmail.de,"AR DRIVE 20, 12431 Freehold, USA","AR DRIVE 20, 12431 Freehold, USA",invoice,P110024,,Pepe Jeans,Shirts,45,45,7,315,0.00%
2021-10-21 10:20:28,ID211384882335167,delivered,Fischer,José-Alberto,1988-04-25,José-Alberto.Fischer@gmail.ch,"Schiffbaustrasse 59, 2036 Cormondrèche, Schweiz","Schiffbaustrasse 59, 2036 Cormondrèche, Schweiz",invoice,P110023,,Pepe Jeans,Shirts,49,45,2,98,8.16%
2021-10-21 09:48:06,ID236158049173668,paid,Berger,Zandra,1966-06-02,Zandra.Berger@hispeed.ch,"Burenweg 82, 1356 La Russille, Schweiz","Burenweg 82, 1356 La Russille, Schweiz",invoice,P110007,,Diesel,Jeans,119,105,2,238,11.76%
2021-10-21 08:04:03,ID370664941374782,canceled,Bigler,Fakhira,1946-08-08,Fakhira.Bigler@hotmail.com,"ORO BR APPROACH 57, 12543 Maybrook, USA","ORO BR APPROACH 57, 12543 Maybrook, USA",invoice,P110021,,Pepe Jeans,Sweaters,75,65,2,150,13.33%
2021-10-21 07:43:54,ID139535048109066,delivered,Geiser,Rotchana,1945-04-23,Rotchana.Geiser@hotmail.com,"RSTATE 678 NB EXIT 5 78, 14555 Sodus Point, USA","RSTATE 678 NB EXIT 5 78, 14555 Sodus Point, USA",invoice,P110050,,Levi's,Dresses,99,95,1,99,4.04%
2021-10-21 05:43:36,ID013549780090645,delivered,Wenger,Artila,1953-10-23,Artila.Wenger@yahoo.com,"Ettenfeldstrasse 39, 6994 Aranno, Schweiz","Ettenfeldstrasse 39, 6994 Aranno, Schweiz",invoice,P110022,,Pepe Jeans,Shirts,49,45,1,49,8.16%
2021-10-21 03:46:58,ID745193181657089,canceled,Minder,Mokhtar,1949-10-22,Mokhtar.Minder@gmail.ch,"Merkurplatz 55, 1470 Bollion, Schweiz","Merkurplatz 55, 1470 Bollion, Schweiz",invoice,P110051,,Levi's,Dresses,99,95,1,99,4.04%
2021-10-21 02:49:54,ID276545599310756,canceled,Röthlisberger,Toi,1976-10-24,Toi.Röthlisberger@yahoo.com,"HESTER HOUSES BUILDING 10 80, 12747 Hurleyville, USA","HESTER HOUSES BUILDING 10 80, 12747 Hurleyville, USA",invoice,P110051,,Levi's,Dresses,99,95,6,594,4.04%
2021-10-21 02:09:25,ID958435332778328,canceled,Tanner,Oryna,1950-01-02,Oryna.Tanner@yahoo.com,"NY II HOUSES BUILDING 7 89, 13052 De Ruyter, USA","NY II HOUSES BUILDING 7 89, 13052 De Ruyter, USA",invoice,P110002,,Pepe Jeans,Jeans,119,109,8,952,8.40%
2021-10-21 01:17:21,ID694492674454585,delivered,Knecht,Shtefan,1970-08-11,Shtefan.Knecht@hotmail.com,"Albisstrasse 79, 6434 Illgau, Schweiz","Albisstrasse 79, 6434 Illgau, Schweiz",invoice,P110026,,Diesel,Shirts,45,35,2,90,22.22%
2021-10-21 00:50:45,ID801319847943820,delivered,Meier,Ketevan,1986-05-04,Ketevan.Meier@gmail.com,"Wässerlingweg 26, 9436 Balgach, Schweiz","Wässerlingweg 26, 9436 Balgach, Schweiz",invoice,P110013,,Diesel,Sweaters,57,50,5,285,12.28%
2021-10-21 00:04:59,ID853541859226955,delivered,Rohner,Fortune,1952-01-16,Fortune.Rohner@gmail.us,"Carmenstrasse 62, 8266 Steckborn, Schweiz","Carmenstrasse 62, 8266 Steckborn, Schweiz",invoice,P110011,,Diesel,Sweaters,49,40,7,343,18.37%
2021-10-20 23:23:34,ID122170389942740,canceled,Maillard,Sevdet,1941-10-14,Sevdet.Maillard@gmail.ch,"T JOHNS U ROTC RESERVE CTR 99, 11725 Commack, USA","T JOHNS U ROTC RESERVE CTR 99, 11725 Commack, USA",invoice,P110045,,Diesel,Dresses,99,80,5,495,19.19%
2021-10-20 22:41:24,ID855531866897361,delivered,Bauer,Tripun,1953-09-23,Tripun.Bauer@hispeed.ch,"ETH INDUSTRIAL CTR SKYBRIDGE 90, 13748 Conklin, USA","ETH INDUSTRIAL CTR SKYBRIDGE 90, 13748 Conklin, USA",invoice,P110051,,Levi's,Dresses,99,95,8,792,4.04%
2021-10-20 22:17:07,ID961803426137582,delivered,Hauser,Mohamedali,1978-03-15,Mohamedali.Hauser@hispeed.ch,"Rümlangstrasse 2, 6500 Bellinzona CS, Schweiz","Rümlangstrasse 2, 6500 Bellinzona CS, Schweiz",invoice,P110047,,Diesel,Dresses,149,120,3,447,19.46%
2021-10-20 21:02:20,ID705197511670982,delivered,Hürlimann,Alijah,1969-08-25,Alijah.Hürlimann@yahoo.com,"Tulpenstrasse 13, 1023 Crissier, Schweiz","Tulpenstrasse 13, 1023 Crissier, Schweiz",invoice,P110048,,Diesel,Dresses,149,120,3,447,19.46%
2021-10-20 21:01:58,ID500917288464091,delivered,Schaub,Luísa,1996-02-03,Luísa.Schaub@gmail.ch,"N ACADEMY HIGH SCHOOL 92, 11725 Commack, USA","N ACADEMY HIGH SCHOOL 92, 11725 Commack, USA",invoice,P110036,,Levi's,Jackets,119,100,3,357,15.97%
2021-10-20 19:53:30,ID288906977700379,delivered,Rohner,Leonor,1952-04-01,Leonor.Rohner@gmail.com,"STREET 17, 13441 Rome, USA","STREET 17, 13441 Rome, USA",invoice,P110049,,Diesel,Dresses,149,120,4,596,19.46%
2021-10-20 18:19:22,ID141275001909630,delivered,Ulrich,Blagovesta,2000-03-14,Blagovesta.Ulrich@yahoo.com,"Schulerweg 85, 4813 Uerkheim, Schweiz","Schulerweg 85, 4813 Uerkheim, Schweiz",invoice,P110017,,Levi's,Sweaters,69,55,4,276,20.29%
2021-10-20 17:20:27,ID925035104724996,delivered,Zimmermann,Ayouba,1950-10-20,Ayouba.Zimmermann@bluewin.ch,"ANTHONY J VENDITTI SQUARE 51, 10911 Bear Mountain, USA","ANTHONY J VENDITTI SQUARE 51, 10911 Bear Mountain, USA",invoice,P110012,,Diesel,Sweaters,59,50,3,177,15.25%
2021-10-20 16:33:55,ID665381978556602,delivered,Hutter,Titania,1996-01-29,Titania.Hutter@gmail.com,"CE'S BAY 27, 14778 Saint Bonaventure, USA","CE'S BAY 27, 14778 Saint Bonaventure, USA",invoice,P110009,,Pepe Jeans,Jeans,99,95,4,396,4.04%
2021-10-20 14:58:57,ID922339421958309,delivered,Zingg,Mimosa,1959-01-28,Mimosa.Zingg@hotmail.com,"Massholderweg 41, 6692 Menzonio, Schweiz","Massholderweg 41, 6692 Menzonio, Schweiz",invoice,P110023,,Pepe Jeans,Shirts,49,45,4,196,8.16%
2021-10-20 14:50:23,ID385584226459442,delivered,Schütz,Bata,1942-09-10,Bata.Schütz@gmail.ch,"Weichengasse 77, 7303 Mastrils, Schweiz","Weichengasse 77, 7303 Mastrils, Schweiz",invoice,P110009,,Pepe Jeans,Jeans,99,95,4,396,4.04%
2021-10-20 14:38:47,ID480988188337771,paid,Bühler,Daksh,1966-02-28,Daksh.Bühler@gmail.de,"EXIT 3 SOUTHBOUND 74, 13310 Bouckville, USA","EXIT 3 SOUTHBOUND 74, 13310 Bouckville, USA",invoice,P110042,,Levi's,Dresses,99,85,6,594,14.14%
2021-10-20 13:47:16,ID476542005982288,paid,Bader,Sefa,1966-10-19,Sefa.Bader@gmail.ch,"Kettberg 37, 3662 Seftigen, Schweiz","Kettberg 37, 3662 Seftigen, Schweiz",invoice,P110012,,Diesel,Sweaters,59,50,2,118,15.25%
2021-10-20 10:51:00,ID244091244277072,delivered,Stöckli,Tarec,1986-06-23,Tarec.Stöckli@gmail.us,"Lindenweg 22, 5050 Buchs AG CALL, Schweiz","Lindenweg 22, 5050 Buchs AG CALL, Schweiz",invoice,P110005,,Levi's,Jeans,149,130,7,1043,12.75%
2021-10-20 09:44:10,ID140321996011558,delivered,Aebi,Rafiq,1984-05-28,Rafiq.Aebi@gmail.ch,"Ferdinand-Hodler-Strasse 27, 1984 La Tour VS, Schweiz","Ferdinand-Hodler-Strasse 27, 1984 La Tour VS, Schweiz",invoice,P110049,,Diesel,Dresses,149,120,1,149,19.46%
2021-10-20 07:16:00,ID234318180415496,delivered,Schwarz,Retus,1957-11-07,Retus.Schwarz@gmail.us,"UINNESS BLVD S WB EN I 278 35, 13469 Stittville, USA","UINNESS BLVD S WB EN I 278 35, 13469 Stittville, USA",invoice,P110048,,Diesel,Dresses,149,120,2,298,19.46%
2021-10-20 07:15:20,ID145747749266534,delivered,Thalmann,Kays,1949-06-17,Kays.Thalmann@bluewin.ch,"PARKWAY EXIT 1 WESTBOUND 80, 13630 De Kalb Junction, USA","PARKWAY EXIT 1 WESTBOUND 80, 13630 De Kalb Junction, USA",invoice,P110029,,Diesel,Shirts,69,63,9,621,8.70%
2021-10-20 05:57:49,ID925975350042248,delivered,Schmidt,Rudayna,1974-11-07,Rudayna.Schmidt@yahoo.com,"Grundstrasse 2, 5313 Klingnau Wiesenweg, Schweiz","Grundstrasse 2, 5313 Klingnau Wiesenweg, Schweiz",invoice,P110026,,Diesel,Shirts,45,35,2,90,22.22%
2021-10-20 05:47:44,ID715208019014694,delivered,Stadler,Shamal,1949-03-29,Shamal.Stadler@yahoo.com,"ICAN HERO SGT BROOKS WAY 47, 10538 Larchmont, USA","ICAN HERO SGT BROOKS WAY 47, 10538 Larchmont, USA",invoice,P110013,,Diesel,Sweaters,57,50,8,456,12.28%
2021-10-20 04:39:03,ID502205130075078,delivered,Schumacher,Yufeng,1976-08-16,Yufeng.Schumacher@hotmail.com,"Jupiterstrasse 27, 3159 Riedstätt, Schweiz","Jupiterstrasse 27, 3159 Riedstätt, Schweiz",invoice,P110015,,Diesel,Sweaters,59,50,6,354,15.25%
2021-10-20 04:18:35,ID387971574499036,delivered,Ferrari,Sevhat,1975-07-26,Sevhat.Ferrari@gmail.com,"Hermetschloobrücke 81, 8343 Hinwil Dist Ba, Schweiz","Hermetschloobrücke 81, 8343 Hinwil Dist Ba, Schweiz",invoice,P110019,,Levi's,Sweaters,69,55,4,276,20.29%
2021-10-20 03:53:01,ID569662360023414,delivered,Pittet,Niska,1941-03-04,Niska.Pittet@yahoo.com,"DANNO BL NORTHBOUND ROADBED 77, 12435 Greenfield Park, USA","DANNO BL NORTHBOUND ROADBED 77, 12435 Greenfield Park, USA",invoice,P110031,,Diesel,Jackets,199,180,3,597,9.55%
2021-10-20 02:42:49,ID539387570753858,delivered,Rieder,Félicien,1975-11-17,Félicien.Rieder@hispeed.ch,"Platzspitzbrücke 21, 1866 La Forclaz VD, Schweiz","Platzspitzbrücke 21, 1866 La Forclaz VD, Schweiz",invoice,P110044,,Diesel,Dresses,99,80,1,99,19.19%
2021-10-20 02:08:59,ID313901019690215,paid,Willi,Arbiana,1979-09-27,Arbiana.Willi@bluewin.ch,"Horgenweg 3, 9604 Lütisburg, Schweiz","Horgenweg 3, 9604 Lütisburg, Schweiz",invoice,P110010,,Pepe Jeans,Jeans,99,93,1,99,6.06%
2021-10-20 00:32:47,ID027506521259727,paid,Bader,Badis,1948-01-14,Badis.Bader@bluewin.ch,"ACADEMY GEORGE MAND LIBRARY 54, 10003 New York City, USA","ACADEMY GEORGE MAND LIBRARY 54, 10003 New York City, USA",invoice,P110011,,Diesel,Sweaters,49,40,8,392,18.37%
2021-10-20 00:10:42,ID381613756880548,delivered,Walther,Chérif,1956-02-21,Chérif.Walther@bluewin.ch,"M CLARKE AVENUE 66, 14304 Niagara Falls, USA","M CLARKE AVENUE 66, 14304 Niagara Falls, USA",invoice,P110044,,Diesel,Dresses,99,80,8,792,19.19%
2021-10-20 00:09:52,ID737761961293867,delivered,Meister,Wietske,1977-05-19,Wietske.Meister@gmail.us,"Flössergasse 79, 1470 Lully FR, Schweiz","Elisabethenstrasse 34, 4416 Bubendorf, Schweiz",invoice,P110034,,Levi's,Jackets,119,100,3,357,15.97%
2021-10-19 23:34:16,ID873957571052061,paid,Sigrist,Tseyang,1954-09-24,Tseyang.Sigrist@gmail.ch,"Girhaldenweg 90, 6537 Grono, Schweiz","Girhaldenweg 90, 6537 Grono, Schweiz",invoice,P110032,,Diesel,Jackets,199,180,6,1194,9.55%
2021-10-19 23:29:28,ID384835485186317,delivered,Hostettler,Dijamanta,1972-01-23,Dijamanta.Hostettler@gmail.com,"Liebensteinstrasse 52, 1793 Jeuss, Schweiz","Liebensteinstrasse 52, 1793 Jeuss, Schweiz",invoice,P110043,,Pepe Jeans,Dresses,89,80,3,267,10.11%
2021-10-19 23:15:57,ID563946523396973,delivered,Niederberger,Belaynesh,1967-02-01,Belaynesh.Niederberger@gmail.com,"Blauäcker 59, 9494 Schaan Zustellung, Schweiz","Blauäcker 59, 9494 Schaan Zustellung, Schweiz",invoice,P110023,,Pepe Jeans,Shirts,49,45,9,441,8.16%
2021-10-19 23:00:12,ID993903236081903,delivered,Ackermann,Gnanambal,1991-03-02,Gnanambal.Ackermann@hotmail.com,"CO JR WAY 72, 14568 Walworth, USA","CO JR WAY 72, 14568 Walworth, USA",invoice,P110004,,Levi's,Jeans,145,130,2,290,10.34%
2021-10-19 22:39:40,ID735232346951209,paid,Schmutz,Marie-Anna,1976-08-21,Marie-Anna.Schmutz@gmail.de,"IAN WALD PROJECTS BLDG 9 95, 11771 Oyster Bay, USA","IAN WALD PROJECTS BLDG 9 95, 11771 Oyster Bay, USA",invoice,P110010,,Pepe Jeans,Jeans,99,93,7,693,6.06%
2021-10-19 22:24:48,ID224640392912767,delivered,Burri,Gwénaël,1950-09-28,Gwénaël.Burri@gmail.de,"PLACE 23, 10804 New Rochelle, USA","COLL NORTH ACADEMIC BLDG 17, 12749 Kauneonga Lake, USA",invoice,P110013,,Diesel,Sweaters,57,50,1,57,12.28%
2021-10-19 20:58:28,ID378460326124868,delivered,Marti,Avelyn,1980-08-14,Avelyn.Marti@hotmail.com,"TIERI WAY 33, 14206 Buffalo, USA","R DEEGAN EXPWY ET 12 NB 39, 12886 Wevertown, USA",invoice,P110049,,Diesel,Dresses,149,120,7,1043,19.46%
2021-10-19 20:25:06,ID784486781346908,canceled,Glauser,Rajiny,1991-04-03,Rajiny.Glauser@hispeed.ch,"SON PLAZA 21, 13368 Lyons Falls, USA","SON PLAZA 21, 13368 Lyons Falls, USA",invoice,P110042,,Levi's,Dresses,99,85,4,396,14.14%
2021-10-19 20:23:01,ID322543069233607,delivered,Etter,Bendik,1998-11-13,Bendik.Etter@hispeed.ch,"GEHRIG JHS 45, 13321 Clark Mills, USA","GEHRIG JHS 45, 13321 Clark Mills, USA",invoice,P110002,,Pepe Jeans,Jeans,119,109,3,357,8.40%
2021-10-19 20:21:03,ID125784529415550,delivered,Bernasconi,Hadès,1972-08-08,Hadès.Bernasconi@bluewin.ch,"Rebbergstrasse 78, 4621 Härkingen BZ FP, Schweiz","Rebbergstrasse 78, 4621 Härkingen BZ FP, Schweiz",invoice,P110051,,Levi's,Dresses,99,95,8,792,4.04%
2021-10-19 19:11:58,ID694492674454585,paid,Knecht,Shtefan,1970-08-11,Shtefan.Knecht@hotmail.com,"Albisstrasse 79, 6434 Illgau, Schweiz","Albisstrasse 79, 6434 Illgau, Schweiz",invoice,P110026,,Diesel,Shirts,45,35,2,90,22.22%
2021-10-19 19:03:22,ID370664941374782,delivered,Bigler,Fakhira,1946-08-08,Fakhira.Bigler@hotmail.com,"ORO BR APPROACH 57, 12543 Maybrook, USA","ORO BR APPROACH 57, 12543 Maybrook, USA",invoice,P110021,,Pepe Jeans,Sweaters,75,65,2,150,13.33%
2021-10-19 17:16:04,ID122170389942740,paid,Maillard,Sevdet,1941-10-14,Sevdet.Maillard@gmail.ch,"T JOHNS U ROTC RESERVE CTR 99, 11725 Commack, USA","T JOHNS U ROTC RESERVE CTR 99, 11725 Commack, USA",invoice,P110045,,Diesel,Dresses,99,80,5,495,19.19%
2021-10-19 16:46:06,ID669105487978025,paid,Walter,Falih,1954-04-20,Falih.Walter@hispeed.ch,"JAY COLLEGE CUNY 60, 11758 Massapequa, USA","JAY COLLEGE CUNY 60, 11758 Massapequa, USA",invoice,P110046,,Diesel,Dresses,99,80,2,198,19.19%
2021-10-19 16:16:37,ID528241799527470,delivered,Wirth,Sibora,1990-07-04,Sibora.Wirth@bluewin.ch,"Balderngasse 70, 4468 Kienberg, Schweiz","Balderngasse 70, 4468 Kienberg, Schweiz",invoice,P110050,,Levi's,Dresses,99,95,1,99,4.04%
2021-10-19 16:12:33,ID075100894373670,delivered,Vogel,Loic,1945-09-29,Loic.Vogel@gmail.com,"Würzgrabenstrasse 24, 6927 Agra, Schweiz","Würzgrabenstrasse 24, 6927 Agra, Schweiz",invoice,P110045,,Diesel,Dresses,99,80,5,495,19.19%
2021-10-19 15:33:09,ID439360387404256,delivered,Marty,Balakrishnan,1974-03-13,Balakrishnan.Marty@gmail.ch,"ONAUT COURT 73, 14420 Brockport, USA","LAVELLE WAY 45, 13680 Rensselaer Falls, USA",invoice,P110034,,Levi's,Jackets,119,100,6,714,15.97%
2021-10-19 15:22:04,ID539713059094027,canceled,Zeller,Schiphra,1949-11-12,Schiphra.Zeller@bluewin.ch,"KLYN QUEENS EP WB ET 35 E 28, 10128 New York City, USA","KLYN QUEENS EP WB ET 35 E 28, 10128 New York City, USA",invoice,P110047,,Diesel,Dresses,149,120,9,1341,19.46%
2021-10-19 15:14:26,ID243783535868214,delivered,Affolter,Meer,1943-06-02,Meer.Affolter@hispeed.ch,"RIA BL SOUTH I 278 WB EN 28, 14709 Angelica, USA","RIA BL SOUTH I 278 WB EN 28, 14709 Angelica, USA",invoice,P110035,,Levi's,Jackets,119,100,3,357,15.97%
2021-10-19 14:28:47,ID705197511670982,paid,Hürlimann,Alijah,1969-08-25,Alijah.Hürlimann@yahoo.com,"Tulpenstrasse 13, 1023 Crissier, Schweiz","Tulpenstrasse 13, 1023 Crissier, Schweiz",invoice,P110048,,Diesel,Dresses,149,120,3,447,19.46%
2021-10-19 13:47:53,ID100029751270955,delivered,Berger,Alexandru-Robert,1997-10-11,Alexandru-Robert.Berger@gmail.ch,"Y BOULEVARD SB ROADBED 5, 13452 Saint Johnsville, USA","Y BOULEVARD SB ROADBED 5, 13452 Saint Johnsville, USA",invoice,P110047,,Diesel,Dresses,149,120,3,447,19.46%
2021-10-19 12:56:13,ID139535048109066,paid,Geiser,Rotchana,1945-04-23,Rotchana.Geiser@hotmail.com,"RSTATE 678 NB EXIT 5 78, 14555 Sodus Point, USA","RSTATE 678 NB EXIT 5 78, 14555 Sodus Point, USA",invoice,P110050,,Levi's,Dresses,99,95,1,99,4.04%
2021-10-19 11:20:18,ID801319847943820,paid,Meier,Ketevan,1986-05-04,Ketevan.Meier@gmail.com,"Wässerlingweg 26, 9436 Balgach, Schweiz","Wässerlingweg 26, 9436 Balgach, Schweiz",invoice,P110013,,Diesel,Sweaters,57,50,5,285,12.28%
2021-10-19 10:56:49,ID118750476357123,delivered,Mathis,Emilly,1940-07-21,Emilly.Mathis@gmail.ch,"N STUDENT CENTER 26, 13813 Nineveh, USA","N STUDENT CENTER 26, 13813 Nineveh, USA",invoice,P110036,,Levi's,Jackets,119,100,2,238,15.97%
2021-10-19 10:47:25,ID452753049106601,delivered,Rochat,Olivera,1941-08-03,Olivera.Rochat@hispeed.ch,"ST PEDESTRIAN OVERPASS 31, 10462 Bronx, USA","ON PLGD COMFORT STATION 56, 14808 Atlanta, USA",invoice,P110027,,Diesel,Shirts,45,35,9,405,22.22%
2021-10-19 10:18:23,ID697011276952746,delivered,Bürgi,Simret,1946-02-09,Simret.Bürgi@hispeed.ch,"ERICK JUDGE PLAYGROUND 92, 10279 New York City, USA","ERICK JUDGE PLAYGROUND 92, 10279 New York City, USA",invoice,P110050,,Levi's,Dresses,99,95,5,495,4.04%
2021-10-19 10:16:04,ID112140472633726,delivered,Ackermann,Radenko,1996-08-27,Radenko.Ackermann@gmail.com,"MB GERALDINE L DANIELS WAY 49, 10915 Bullville, USA","MB GERALDINE L DANIELS WAY 49, 10915 Bullville, USA",invoice,P110031,,Diesel,Jackets,199,180,9,1791,9.55%
2021-10-19 09:47:07,ID106038840820615,delivered,Fankhauser,Peline,1999-06-10,Peline.Fankhauser@gmail.com,"Tulpenweg 14, 8330 Pfäffikon Bhfstr, Schweiz","Tulpenweg 14, 8330 Pfäffikon Bhfstr, Schweiz",invoice,P110043,,Pepe Jeans,Dresses,89,80,2,178,10.11%
2021-10-19 09:19:58,ID360079151128924,delivered,Beck,Atiye,1983-08-07,Atiye.Beck@gmail.de,"O HGTS PEARL ST S SKYBRIDGE 79, 11967 Shirley, USA","O HGTS PEARL ST S SKYBRIDGE 79, 11967 Shirley, USA",invoice,P110001,,Pepe Jeans,Jeans,119,110,7,833,7.56%
2021-10-19 08:32:54,ID141275001909630,paid,Ulrich,Blagovesta,2000-03-14,Blagovesta.Ulrich@yahoo.com,"Schulerweg 85, 4813 Uerkheim, Schweiz","Schulerweg 85, 4813 Uerkheim, Schweiz",invoice,P110017,,Levi's,Sweaters,69,55,4,276,20.29%
2021-10-19 08:18:53,ID209801258910664,paid,Fischer,Cassia,1951-10-26,Cassia.Fischer@gmail.us,"Bergliweg 51, 3256 Bangerten, Schweiz","Bergliweg 51, 3256 Bangerten, Schweiz",invoice,P110045,,Diesel,Dresses,99,80,6,594,19.19%
2021-10-19 07:10:11,ID172482659692793,delivered,Clerc,Nuhu,1989-08-19,Nuhu.Clerc@gmail.com,"Eigenstrasse 62, 6373 Ennetbürgen, Schweiz","Eigenstrasse 62, 6373 Ennetbürgen, Schweiz",invoice,P110009,,Pepe Jeans,Jeans,99,95,8,792,4.04%
2021-10-19 07:08:52,ID518012246748792,canceled,Kaiser,Rumaisa,1941-10-07,Rumaisa.Kaiser@gmail.us,"CIS LEWIS BL IN 495 WB EN 27, 12987 Upper Jay, USA","CIS LEWIS BL IN 495 WB EN 27, 12987 Upper Jay, USA",invoice,P110018,,Levi's,Sweaters,69,55,4,276,20.29%
